"grade_feedback_id","problem_log_id","teacher_xid","grade","feedback","active_batch","time_taken_seconds","created_at"
10,144652730,2835460,4,What is another way to describe -55 is bigger than -62,0,151,2022-07-07 12:00:09.956 -0400
11,156799971,2835460,0,Reread the problem and try again Make sure you explain your thinking ,0,135,2022-07-07 12:02:25.331 -0400
12,144581770,2835460,3,Does that mean 65 is smaller than 55?  Can you explain more about why the smaller the value get makes it the greater number?,0,113,2022-07-07 12:04:18.560 -0400
13,156798863,2835460,0,Reread the question and make sure to explain your thinking,0,35,2022-07-07 12:04:53.988 -0400
14,154088030,2835460,1,Can you explain how you know the numbers you chose are between -2 and -8?,0,74,2022-07-07 12:06:08.237 -0400
15,144704702,2835460,1,Is it asking for the lowest temperature?  Reread the question  Try to explain your thinking more,0,53,2022-07-07 12:07:02.336 -0400
16,154856205,2835460,2,what is the data set being described?  ,0,149,2022-07-07 12:09:31.765 -0400
17,144583078,2835460,3,How do you know -62 is colder than -55?,0,91,2022-07-07 12:11:03.960 -0400
18,141933235,2835460,4,Yes can you be even more specific?,0,56,2022-07-07 12:12:00.760 -0400
19,142085584,2835460,4,Savings in dollars.  ,0,46,2022-07-07 12:12:47.878 -0400
20,144098695,2835460,1,Can you explain your thinking more on why Mars is the warmer temperature.  Use the temperatures to help you compare and explain your thinking,0,78,2022-07-07 12:14:06.720 -0400
21,137100776,2835460,3,Is the other set of directions correct?,0,123,2022-07-07 12:16:10.143 -0400
22,132021072,2835460,2,Division is a good strategy for comparing their swimming rates.   Go back and check your numbers carefully.   Explain what your division answer represents,0,117,2022-07-07 12:18:08.316 -0400
23,133225700,2835460,0,How can you use the numbers provided to support your answer and  your   thinking ,0,73,2022-07-07 12:19:22.201 -0400
24,132549333,2835460,2,Can you explain what the 25 and 26 represent in your work?,0,64,2022-07-07 12:20:26.494 -0400
25,153771796,2835460,3,What does the 70 represent?,0,69,2022-07-07 12:21:36.528 -0400
26,132353086,2835460,2,What does the 26 represent in terms of this situation?,0,99,2022-07-07 12:23:16.153 -0400
27,144444719,2835460,3,Can you explain your thinking more?  What does the distance from zero represent when you move towards the left,0,67,2022-07-07 12:24:23.530 -0400
28,156771272,2835460,4,Yes because the x's represent ....,0,96,2022-07-07 12:26:00.272 -0400
29,154149726,2835460,3,Can you explain your thinking?  What does the 70 represent?  What does the 30 represent?,0,146,2022-07-07 12:28:27.456 -0400
30,132093750,2835460,2,Can you give an example of your work?,0,55,2022-07-07 12:29:23.210 -0400
31,142327213,2835460,3,How did you calculate the 60 dollars?,0,76,2022-07-07 12:30:39.782 -0400
32,154084590,2835460,2,You need three total inequalities.  Make sure to read the question carefully,0,55,2022-07-07 12:31:35.080 -0400
