"problem_log_id","assignment_log_id","problem_id","start_time","end_time","?column?","answer_text","first_action_type_id","attempt_count","first_response_time","teacher_comment","user_xid","assignment_xid","assignment_id","owner_xid","name","problem_type_id","assistment_id","position"
156769823,20326139,1363810,2022-06-02 13:06:26.482 -0400,2022-06-02 13:14:24.259 -0400,,<p>I found the answer by contetad all the x to fide my answer.</p>,1,1,477739,"",1410334,3304982,1750033,3097639,"",8,951844,2
156769854,20326141,1363810,2022-06-02 13:06:58.535 -0400,2022-06-02 13:26:12.412 -0400,,<p>The way I got my answer was by counting the X's.</p>,1,1,1153870,"",1410303,3304982,1750033,3097639,"",8,951844,2
156769860,20326146,1363810,2022-06-02 13:07:02.373 -0400,2022-06-02 13:13:08.134 -0400,,<p>we contetad to grast&nbsp; to the lest</p>,1,1,365753,"",1409300,3304982,1750033,3097639,"",8,951844,2
156769881,20326148,1363810,2022-06-02 13:07:27.820 -0400,2022-06-02 13:25:24.496 -0400,,<p>i counted i got 15.</p>,1,1,1076650,"",1448014,3304982,1750033,3097639,"",8,951844,2
156770406,20326201,1363810,2022-06-02 13:17:09.937 -0400,2022-06-02 13:20:05.362 -0400,,<p>I counted all the x&acute;s and there were 15.</p>,1,1,175401,"",1447944,3304982,1750033,3097639,"",8,951844,2
156808016,20330692,1363810,2022-06-06 09:33:12.275 -0400,2022-06-06 09:34:22.403 -0400,,"<p>i found the answer by counting the X</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",1,1,70121,"",248631,3304982,1750033,3097639,"",8,951844,2
156770515,20326146,1366142,2022-06-02 13:19:01.062 -0400,2022-06-02 13:20:48.621 -0400,,<p>the picher show the wroms</p>,1,1,107554,"",1409300,3304982,1750033,3097639,"",8,953702,2
156771199,20326137,1366142,2022-06-02 13:28:37.390 -0400,2022-06-02 13:29:09.699 -0400,,"<p>The way i knew it was 30 was that i counted the X's.</p>
<p>&nbsp;</p>",1,1,32291,"",1410802,3304982,1750033,3097639,"",8,953702,2
156771247,20326154,1366142,2022-06-02 13:29:24.030 -0400,2022-06-02 13:31:23.643 -0400,,<p>I counted 30 x&acute;s</p>,1,1,119608,"",2084407,3304982,1750033,3097639,"",8,953702,2
156771255,20326201,1366142,2022-06-02 13:29:33.824 -0400,2022-06-02 13:31:03.152 -0400,,"<p>I counted 30 x&acute;s.</p>
<p>&nbsp;</p>",1,1,89323,"",1447944,3304982,1750033,3097639,"",8,953702,2
156771272,20326144,1366142,2022-06-02 13:29:51.263 -0400,2022-06-02 13:30:02.377 -0400,,<p>I counted the x's</p>,1,1,11108,"",1448015,3304982,1750033,3097639,"",8,953702,2
156771277,20326159,1366142,2022-06-02 13:29:59.709 -0400,2022-06-02 13:30:53.887 -0400,,"<p>i counted 30 worms by using the xs to help me&nbsp;</p>
<p>&nbsp;</p>",1,1,54171,"",302023,3304982,1750033,3097639,"",8,953702,2
156771570,20326142,1366142,2022-06-02 13:34:07.938 -0400,2022-06-02 13:34:38.196 -0400,,<p>how much worms does it measure</p>,1,1,30243,"",1410049,3304982,1750033,3097639,"",8,953702,2
